X, Y, Z
-0.398077,-0.380858,0.994728
-0.398547,-0.227331,1.04529
-0.399717,-0.205339,1.05329
-0.39932,-0.188937,1.05979
-0.398903,-0.756544,0.868341
0.038574,-0.753468,0.86795
0.0446659,-0.756717,0.867968
0.0531933,-0.760208,0.869107
-0.398961,-0.748779,0.869893
0.0279982,-0.74396,0.869245
0.0336762,-0.748988,0.871086
0.00992909,-0.733177,0.872348
0.0155118,-0.735409,0.874834
0.024655,-0.740347,0.873845
-0.399096,-0.727032,0.879302
-0.010395,-0.725954,0.879056
-0.00480408,-0.727162,0.878141
0.00499625,-0.731115,0.876535
0.0111887,-0.7344,0.879884
-0.399292,-0.721382,0.880166
-0.387192,-0.453967,0.974149
-0.397031,-0.448553,0.980258
-0.388723,-0.447024,0.975967
-0.395821,-0.437527,0.982882
-0.394738,-0.42571,0.988391
-0.395083,-0.420243,0.989786
-0.397235,-0.409148,0.992462
-0.399558,-0.397879,0.996692
-0.398335,-0.392575,0.999642
-0.399913,-0.382073,1.0012
-0.397883,-0.339514,1.01935
-0.398716,-0.33883,1.022
-0.398543,-0.767688,0.878055
0.0628629,-0.767859,0.876929
-0.398687,-0.76084,0.876986
0.0464339,-0.757888,0.877076
0.0548568,-0.761334,0.877087
0.0611348,-0.76518,0.878022
-0.399283,-0.754386,0.875802
0.0366562,-0.749819,0.88031
0.0440038,-0.753892,0.882073
0.017506,-0.73865,0.885077
0.0253372,-0.74198,0.88393
0.0317789,-0.745845,0.883669
-0.398998,-0.731848,0.887366
-0.0109906,-0.727516,0.887072
-0.00434229,-0.728531,0.887838
0.00445338,-0.732242,0.887678
0.0121933,-0.736352,0.886623
-0.39948,-0.726649,0.889489
-0.0106196,-0.728295,0.89195
-0.0058833,-0.72866,0.892934
-0.399799,-0.683628,0.90858
-0.399889,-0.680143,0.909514
-0.399833,-0.611419,0.936351
-0.399699,-0.489645,0.978545
-0.396899,-0.448638,0.990568
-0.396929,-0.444698,0.99384
-0.393527,-0.430046,0.997146
-0.394522,-0.422504,1.00003
-0.397561,-0.415576,1.00491
-0.399766,-0.365101,1.02494
-0.398913,-0.33917,1.02586
-0.398206,-0.771444,0.884492
0.0669892,-0.771526,0.883678
0.0716821,-0.776039,0.885746
-0.39894,-0.766564,0.88547
0.0561873,-0.76232,0.886749
0.0626057,-0.767193,0.885826
0.0386999,-0.750211,0.890269
0.0450257,-0.753548,0.890154
0.0518431,-0.757956,0.889839
0.0188642,-0.74129,0.894048
0.0250703,-0.74385,0.894203
0.0342406,-0.747942,0.892565
-0.399602,-0.736309,0.896535
